date,mo,yr,dow,pm1,temp,stagno,admyng,gasyng
10000,5,87,3,5.54928697939766,52,7,2,0
10001,5,87,4,10.2794543316024,55,7.5,1,1
10002,5,87,5,7.93367464360617,59,10.5,1,1
10003,5,87,6,11.1673955013564,55,8,6,1
10004,5,87,7,8.79509299762153,58,7.5,4,2
10005,5,87,1,8.30859557762157,58,11,3,1
10006,5,87,2,8.63247567805751,53,2.5,6,1
10007,5,87,3,3.16755419331242,55,1,3,0
10008,5,87,4,3.33448993283078,55,0,9,1
10009,5,87,5,4.16791736190545,55,3,1,0
10010,5,87,6,8.84387675952438,57,7,5,1
10011,5,87,7,3.3645622914326,55,2.5,4,1
10012,5,87,1,2.65973328661837,54,0,4,1
10013,6,87,2,4.94178672427627,55,2,8,1
10014,6,87,3,6.84762062951646,59,2.5,4,0
10015,6,87,4,11.6399446539625,66,3,4,1
10016,6,87,5,11.9269068800090,65,7.5,5,0
10017,6,87,6,5.69989020396138,59,3,2,2
10018,6,87,7,6.29247293804842,60,1.5,2,2
10019,6,87,1,6.95214787024523,65,8.5,6,3
10020,6,87,2,14.6004011303365,57,11,5,1
10021,6,87,3,17.4552072174449,55,3.5,5,1
10022,6,87,4,8.25750150264919,59,4.5,2,0
10023,6,87,5,11.0876777744619,63,7.5,8,3
10024,6,87,6,5.53303311622656,65,1,2,1
10025,6,87,7,9.94059757730905,64,9,2,2
10026,6,87,1,6.40678152074344,64,6.5,5,0
10027,6,87,2,8.31204394439084,57,4,4,1
10028,6,87,3,5.22766512620446,55,4.5,5,1
10029,6,87,4,8.07898338991477,59,5.5,5,1
10030,6,87,5,5.89536280779911,63,10.5,1,0
10031,6,87,6,8.92332407529625,64,9.5,4,0
10032,6,87,7,7.16063414288418,58,5,3,2
10033,6,87,1,1.73480734215331,58,0.5,7,0
10034,6,87,2,2.38720357205047,60,2,3,3
10035,6,87,3,4.62848945037620,61,6.5,2,0
10036,6,87,4,7.56326525103448,66,6.5,8,2
10037,6,87,5,12.8506811942354,71,7,3,0
10038,6,87,6,10.5177487389830,73,7.5,3,0
10039,6,87,7,6.92552869389725,71,8.5,1,0
